Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 1.234
5.000 90.109 1.244
10.000 90.435 1.224
15.000 90.976 1.215
20.000 91.728 1.204
25.000 92.685 1.158
30.000 93.841 1.119
35.000 95.188 1.068
40.000 96.718 1.016
45.000 98.421 0.958
50.000 100.289 0.890
55.000 102.311 0.814
60.000 104.478 0.735
65.000 106.780 0.646
70.000 109.207 0.570
75.000 111.752 0.479
80.000 114.404 0.396
85.000 117.156 0.317
90.000 120.000 0.251
95.000 122.928 0.192
100.000 125.932 0.172
105.000 129.007 0.218
110.000 132.145 0.278
115.000 135.342 0.352
120.000 138.590 0.421
125.000 141.886 0.489
130.000 145.225 0.561
135.000 148.600 0.641
140.000 152.009 0.703
145.000 155.447 0.757
150.000 158.909 0.817
155.000 162.393 0.861
160.000 165.894 0.894
165.000 169.409 0.922
170.000 172.933 0.942
175.000 176.465 0.957
180.000 180.000 0.969
