Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.186
5.000 90.109 0.184
10.000 90.435 0.180
15.000 90.976 0.180
20.000 91.728 0.170
25.000 92.685 0.162
30.000 93.841 0.148
35.000 95.188 0.135
40.000 96.718 0.117
45.000 98.421 0.099
50.000 100.289 0.076
55.000 102.311 0.060
60.000 104.478 0.041
65.000 106.780 0.032
70.000 109.207 0.042
75.000 111.752 0.062
80.000 114.404 0.083
85.000 117.156 0.110
90.000 120.000 0.135
95.000 122.928 0.161
100.000 125.932 0.186
105.000 129.007 0.212
110.000 132.145 0.236
115.000 135.342 0.260
120.000 138.590 0.282
125.000 141.886 0.306
130.000 145.225 0.328
135.000 148.600 0.346
140.000 152.009 0.364
145.000 155.447 0.379
150.000 158.909 0.391
155.000 162.393 0.404
160.000 165.894 0.415
165.000 169.409 0.423
170.000 172.933 0.427
175.000 176.465 0.427
180.000 180.000 0.430
