Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.104
5.000 90.109 0.110
10.000 90.435 0.101
15.000 90.976 0.089
20.000 91.728 0.079
25.000 92.685 0.064
30.000 93.841 0.054
35.000 95.188 0.038
40.000 96.718 0.015
45.000 98.421 0.020
50.000 100.289 0.036
55.000 102.311 0.053
60.000 104.478 0.071
65.000 106.780 0.084
70.000 109.207 0.096
75.000 111.752 0.104
80.000 114.404 0.112
85.000 117.156 0.117
90.000 120.000 0.116
95.000 122.928 0.113
100.000 125.932 0.104
105.000 129.007 0.088
110.000 132.145 0.076
115.000 135.342 0.059
120.000 138.590 0.040
125.000 141.886 0.022
130.000 145.225 0.014
135.000 148.600 0.033
140.000 152.009 0.047
145.000 155.447 0.068
150.000 158.909 0.091
155.000 162.393 0.101
160.000 165.894 0.120
165.000 169.409 0.130
170.000 172.933 0.138
175.000 176.465 0.143
180.000 180.000 0.145
