Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.415
5.000 90.109 0.414
10.000 90.435 0.410
15.000 90.976 0.418
20.000 91.728 0.401
25.000 92.685 0.404
30.000 93.841 0.393
35.000 95.188 0.385
40.000 96.718 0.375
45.000 98.421 0.365
50.000 100.289 0.355
55.000 102.311 0.337
60.000 104.478 0.314
65.000 106.780 0.293
70.000 109.207 0.264
75.000 111.752 0.228
80.000 114.404 0.182
85.000 117.156 0.149
90.000 120.000 0.089
95.000 122.928 0.036
100.000 125.932 0.028
105.000 129.007 0.084
110.000 132.145 0.157
115.000 135.342 0.226
120.000 138.590 0.301
125.000 141.886 0.367
130.000 145.225 0.440
135.000 148.600 0.512
140.000 152.009 0.581
145.000 155.447 0.632
150.000 158.909 0.704
155.000 162.393 0.745
160.000 165.894 0.806
165.000 169.409 0.808
170.000 172.933 0.860
175.000 176.465 0.849
180.000 180.000 0.896
