Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.709
5.000 90.109 0.708
10.000 90.435 0.696
15.000 90.976 0.672
20.000 91.728 0.644
25.000 92.685 0.612
30.000 93.841 0.571
35.000 95.188 0.516
40.000 96.718 0.469
45.000 98.421 0.406
50.000 100.289 0.363
55.000 102.311 0.308
60.000 104.478 0.252
65.000 106.780 0.198
70.000 109.207 0.162
75.000 111.752 0.151
80.000 114.404 0.153
85.000 117.156 0.171
90.000 120.000 0.197
95.000 122.928 0.224
100.000 125.932 0.251
105.000 129.007 0.273
110.000 132.145 0.295
115.000 135.342 0.317
120.000 138.590 0.339
125.000 141.886 0.355
130.000 145.225 0.373
135.000 148.600 0.386
140.000 152.009 0.402
145.000 155.447 0.416
150.000 158.909 0.427
155.000 162.393 0.437
160.000 165.894 0.485
165.000 169.409 0.491
170.000 172.933 0.490
175.000 176.465 0.494
180.000 180.000 0.502
