Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.072
5.000 90.109 0.048
10.000 90.435 0.020
15.000 90.976 0.023
20.000 91.728 0.066
25.000 92.685 0.125
30.000 93.841 0.190
35.000 95.188 0.257
40.000 96.718 0.299
45.000 98.421 0.346
50.000 100.289 0.415
55.000 102.311 0.483
60.000 104.478 0.534
65.000 106.780 0.586
70.000 109.207 0.634
75.000 111.752 0.671
80.000 114.404 0.688
85.000 117.156 0.685
90.000 120.000 0.674
95.000 122.928 0.641
100.000 125.932 0.559
105.000 129.007 0.486
110.000 132.145 0.377
115.000 135.342 0.258
120.000 138.590 0.120
125.000 141.886 0.083
130.000 145.225 0.216
135.000 148.600 0.401
140.000 152.009 0.575
145.000 155.447 0.744
150.000 158.909 0.918
155.000 162.393 1.065
160.000 165.894 1.198
165.000 169.409 1.312
170.000 172.933 1.383
175.000 176.465 1.432
180.000 180.000 1.361
