Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.089
5.000 90.109 0.088
10.000 90.435 0.091
15.000 90.976 0.088
20.000 91.728 0.094
25.000 92.685 0.088
30.000 93.841 0.093
35.000 95.188 0.089
40.000 96.718 0.094
45.000 98.421 0.093
50.000 100.289 0.089
55.000 102.311 0.096
60.000 104.478 0.094
65.000 106.780 0.094
70.000 109.207 0.093
75.000 111.752 0.093
80.000 114.404 0.096
85.000 117.156 0.099
90.000 120.000 0.096
95.000 122.928 0.094
100.000 125.932 0.095
105.000 129.007 0.096
110.000 132.145 0.097
115.000 135.342 0.097
120.000 138.590 0.098
125.000 141.886 0.095
130.000 145.225 0.097
135.000 148.600 0.099
140.000 152.009 0.103
145.000 155.447 0.099
150.000 158.909 0.101
155.000 162.393 0.099
160.000 165.894 0.096
165.000 169.409 0.099
170.000 172.933 0.105
175.000 176.465 0.097
180.000 180.000 0.104
