Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.802
5.000 90.109 0.817
10.000 90.435 0.810
15.000 90.976 0.807
20.000 91.728 0.805
25.000 92.685 0.802
30.000 93.841 0.809
35.000 95.188 0.802
40.000 96.718 0.802
45.000 98.421 0.801
50.000 100.289 0.805
55.000 102.311 0.804
60.000 104.478 0.807
65.000 106.780 0.800
70.000 109.207 0.798
75.000 111.752 0.801
80.000 114.404 0.808
85.000 117.156 0.809
90.000 120.000 0.810
95.000 122.928 0.809
100.000 125.932 0.806
105.000 129.007 0.812
110.000 132.145 0.812
115.000 135.342 0.814
120.000 138.590 0.809
125.000 141.886 0.812
130.000 145.225 0.809
135.000 148.600 0.802
140.000 152.009 0.814
145.000 155.447 0.805
150.000 158.909 0.809
155.000 162.393 0.799
160.000 165.894 0.801
165.000 169.409 0.817
170.000 172.933 0.800
175.000 176.465 0.808
180.000 180.000 0.810
