Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.266
5.000 90.109 0.262
10.000 90.435 0.260
15.000 90.976 0.255
20.000 91.728 0.249
25.000 92.685 0.239
30.000 93.841 0.232
35.000 95.188 0.213
40.000 96.718 0.200
45.000 98.421 0.189
50.000 100.289 0.174
55.000 102.311 0.158
60.000 104.478 0.135
65.000 106.780 0.117
70.000 109.207 0.096
75.000 111.752 0.076
80.000 114.404 0.051
85.000 117.156 0.031
90.000 120.000 0.014
95.000 122.928 0.037
100.000 125.932 0.061
105.000 129.007 0.083
110.000 132.145 0.108
115.000 135.342 0.130
120.000 138.590 0.154
125.000 141.886 0.177
130.000 145.225 0.195
135.000 148.600 0.212
140.000 152.009 0.227
145.000 155.447 0.246
150.000 158.909 0.261
155.000 162.393 0.274
160.000 165.894 0.287
165.000 169.409 0.303
170.000 172.933 0.307
175.000 176.465 0.317
180.000 180.000 0.314
