Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.087
5.000 90.109 0.088
10.000 90.435 0.088
15.000 90.976 0.099
20.000 91.728 0.098
25.000 92.685 0.088
30.000 93.841 0.094
35.000 95.188 0.113
40.000 96.718 0.117
45.000 98.421 0.122
50.000 100.289 0.157
55.000 102.311 0.165
60.000 104.478 0.214
65.000 106.780 0.246
70.000 109.207 0.262
75.000 111.752 0.292
80.000 114.404 0.326
85.000 117.156 0.346
90.000 120.000 0.384
95.000 122.928 0.411
100.000 125.932 0.449
105.000 129.007 0.513
110.000 132.145 0.487
115.000 135.342 0.484
120.000 138.590 0.505
125.000 141.886 0.537
130.000 145.225 0.548
135.000 148.600 0.596
140.000 152.009 0.622
145.000 155.447 0.652
150.000 158.909 0.672
155.000 162.393 0.684
160.000 165.894 0.720
165.000 169.409 0.759
170.000 172.933 0.783
175.000 176.465 0.800
180.000 180.000 0.801
