Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 0.200
5.000 90.109 0.194
10.000 90.435 0.195
15.000 90.976 0.197
20.000 91.728 0.198
25.000 92.685 0.200
30.000 93.841 0.202
35.000 95.188 0.203
40.000 96.718 0.210
45.000 98.421 0.203
50.000 100.289 0.202
55.000 102.311 0.205
60.000 104.478 0.204
65.000 106.780 0.209
70.000 109.207 0.203
75.000 111.752 0.202
80.000 114.404 0.202
85.000 117.156 0.199
90.000 120.000 0.207
95.000 122.928 0.193
100.000 125.932 0.202
105.000 129.007 0.194
110.000 132.145 0.204
115.000 135.342 0.207
120.000 138.590 0.190
125.000 141.886 0.193
130.000 145.225 0.205
135.000 148.600 0.192
140.000 152.009 0.194
145.000 155.447 0.205
150.000 158.909 0.199
155.000 162.393 0.204
160.000 165.894 0.199
165.000 169.409 0.192
170.000 172.933 0.193
175.000 176.465 0.203
180.000 180.000 0.194
